invoice_id,customer_id,invoice_date,amount_excluding_vat,vat_rate,total_with_vat
INV-000001,CUST-0001,2024-01-15,4500.0,0.0,4500.0
INV-000002,CUST-0001,2024-02-15,4500.0,0.0,4500.0
INV-000003,CUST-0001,2024-03-15,4500.0,0.0,4500.0
INV-000004,CUST-0001,2024-04-15,6000.0,0.0,6000.0
INV-000005,CUST-0001,2024-05-15,6000.0,0.0,6000.0
INV-000006,CUST-0001,2024-06-15,6000.0,0.0,6000.0
INV-000007,CUST-0001,2024-07-15,6000.0,0.0,6000.0
INV-000008,CUST-0001,2024-08-15,8000.0,0.0,8000.0
INV-000009,CUST-0001,2024-09-15,8000.0,0.0,8000.0
INV-000010,CUST-0001,2024-10-15,8000.0,0.0,8000.0
INV-000011,CUST-0001,2024-11-15,9500.0,0.0,9500.0
INV-000012,CUST-0001,2024-12-15,9500.0,0.0,9500.0
INV-000013,CUST-0001,2025-01-15,9500.0,0.0,9500.0
INV-000014,CUST-0001,2025-02-15,9500.0,0.0,9500.0
INV-000015,CUST-0001,2025-03-15,9500.0,0.0,9500.0
INV-000016,CUST-0001,2025-04-15,6500.0,0.0,6500.0
INV-000017,CUST-0002,2025-08-30,125.0,0.2,150.0
INV-000018,CUST-0002,2025-09-30,125.0,0.2,150.0
INV-000019,CUST-0002,2025-10-30,125.0,0.2,150.0
INV-000020,CUST-0002,11/30/2025,173.0,0.2,207.6
INV-000021,CUST-0002,12/30/2025,197.0,0.2,236.4
INV-000022,CUST-0003,2025-12-06,125.0,0.0,125.0
INV-000023,CUST-0004,2025-01-16,89.0,0.2,106.8
INV-000024,CUST-0004,2025-02-16,89.0,0.2,106.8
INV-000025,CUST-0004,2025-03-16,89.0,0.2,106.8
INV-000026,CUST-0004,2025-04-16,89.0,0.2,106.8
INV-000027,CUST-0004,2025-05-16,89.0,0.2,106.8
INV-000028,CUST-0004,2025-06-16,89.0,0.2,106.8
INV-000029,CUST-0004,2025-07-16,89.0,0.2,106.8
INV-000030,CUST-0004,16-08-2025,89.0,0.2,106.8
INV-000031,CUST-0004,2025-09-16,89.0,0.2,106.8
INV-000032,CUST-0004,2025-10-16,89.0,0.2,106.8
INV-000033,CUST-0004,2025-11-16,89.0,0.2,106.8
INV-000034,CUST-0004,2025-12-16 00:00:00,89.0,0.2,106.8
INV-000035,CUST-0005,2024-12-09,89.0,0.19,105.91
INV-000036,CUST-0005,2025-01-09,89.0,0.19,105.91
INV-000037,CUST-0005,2025-02-09,89.0,0.19,105.91
INV-000038,CUST-0005,2025-03-09,89.0,0.19,105.91
INV-000039,CUST-0005,2025-04-09,89.0,0.19,105.91
INV-000040,CUST-0005,2025-05-09,89.0,0.19,105.91
INV-000041,CUST-0005,2025-06-09,89.0,0.19,105.91
INV-000042,CUST-0005,2025-07-09,89.0,0.19,105.91
INV-000043,CUST-0005,2025-08-09 00:00:00,89.0,0.19,105.91
INV-000044,CUST-0005,2025-09-09,89.0,0.19,105.91
INV-000045,CUST-0006,2024-04-22,89.0,0.0,89.0
INV-000046,CUST-0006,05/22/2024,89.0,0.0,89.0
INV-000047,CUST-0006,2024-06-22,89.0,0.0,89.0
INV-000048,CUST-0006,2024-07-22,89.0,0.0,89.0
INV-000049,CUST-0006,2024-08-22,89.0,0.0,89.0
INV-000050,CUST-0006,2024-09-22,89.0,0.0,89.0
INV-000051,CUST-0006,2024-10-22,89.0,0.0,89.0
INV-000052,CUST-0006,2024-11-22,89.0,0.0,89.0
INV-000053,CUST-0006,2024-12-22,89.0,0.0,89.0
INV-000054,CUST-0006,2025-01-22,89.0,0.0,89.0
INV-000055,CUST-0006,2025-02-22,89.0,0.0,89.0
INV-000056,CUST-0006,2025-03-22,89.0,0.0,89.0
INV-000057,CUST-0006,2025-04-22,89.0,0.0,89.0
INV-000058,CUST-0006,2025-05-22,89.0,0.0,89.0
INV-000059,CUST-0006,2025-06-22,89.0,0.0,89.0
INV-000060,CUST-0006,2025-07-22,89.0,0.0,89.0
INV-000061,CUST-0006,2025-08-22,89.0,0.0,89.0
INV-000062,CUST-0006,2025-09-22 00:00:00,89.0,0.0,89.0
INV-000063,CUST-0006,2025-10-22,89.0,0.0,89.0
INV-000064,CUST-0006,2025-11-22,89.0,0.0,89.0
INV-000065,CUST-0006,2025-12-22,89.0,0.0,89.0
INV-000066,CUST-0007,2025-07-04,89.0,0.0,89.0
INV-000067,CUST-0007,2025-08-04,89.0,0.0,89.0
INV-000068,CUST-0007,2025-09-04,89.0,0.0,89.0
INV-000069,CUST-0007,2025-10-04,89.0,0.0,89.0
INV-000070,CUST-0007,11/04/2025,142.0,0.0,142.0
INV-000071,CUST-0007,2025-12-04,142.0,0.0,142.0
INV-000072,CUST-0008,2024-12-01,89.0,0.2,106.8
INV-000073,CUST-0008,2025-01-01,89.0,0.2,106.8
INV-000074,CUST-0008,2025-02-01,89.0,0.2,106.8
INV-000075,CUST-0008,01-03-2025,89.0,0.2,106.8
INV-000076,CUST-0008,2025-04-01,89.0,0.2,106.8
INV-000077,CUST-0008,2025-05-01,89.0,0.2,106.8
INV-000078,CUST-0008,2025-06-01,89.0,0.2,106.8
INV-000079,CUST-0008,2025-07-01,89.0,0.2,106.8
INV-000080,CUST-0008,2025-08-01,89.0,0.2,106.8
INV-000081,CUST-0008,2025-09-01 00:00:00,89.0,0.2,106.8
INV-000082,CUST-0008,2025-10-01,89.0,0.2,106.8
INV-000083,CUST-0008,2025-11-01,89.0,0.2,106.8
INV-000084,CUST-0008,2025-12-01,89.0,0.2,106.8
INV-000085,CUST-0009,2024-10-28,89.0,0.2,106.8
INV-000086,CUST-0009,2024-11-28,89.0,0.2,106.8
INV-000087,CUST-0009,2024-12-28,89.0,0.2,106.8
INV-000088,CUST-0009,2025-01-28,89.0,0.2,106.8
INV-000089,CUST-0009,2025-02-28,89.0,0.2,106.8
INV-000090,CUST-0009,2025-03-28,89.0,0.2,106.8
INV-000091,CUST-0009,2025-04-28,89.0,0.2,106.8
INV-000092,CUST-0009,2025-05-28,89.0,0.2,106.8
INV-000093,CUST-0009,06/28/2025,89.0,0.2,106.8
INV-000094,CUST-0009,2025-07-28,89.0,0.2,106.8
INV-000095,CUST-0009,2025-08-28,89.0,0.2,106.8
INV-000096,CUST-0009,28-09-2025,89.0,0.2,106.8
INV-000097,CUST-0009,2025-10-28,89.0,0.2,106.8
INV-000098,CUST-0009,2025-11-28,89.0,0.2,106.8
INV-000099,CUST-0009,2025-12-28,89.0,0.2,106.8
INV-000100,CUST-0010,2025-11-21,125.0,0.0,125.0
INV-000101,CUST-0010,2025-12-21,125.0,0.0,125.0
INV-000102,CUST-0011,2025-08-07,89.0,0.19,105.91
INV-000103,CUST-0012,2024-01-04,89.0,0.2,106.8
INV-000104,CUST-0012,2024-02-04,89.0,0.2,106.8
INV-000105,CUST-0012,2024-03-04,89.0,0.2,106.8
INV-000106,CUST-0012,2024-04-04,89.0,0.2,106.8
INV-000107,CUST-0012,2024-05-04,89.0,0.2,106.8
INV-000108,CUST-0012,2024-06-04,89.0,0.2,106.8
INV-000109,CUST-0012,2024-07-04,89.0,0.2,106.8
INV-000110,CUST-0012,2024-08-04,89.0,0.2,106.8
INV-000111,CUST-0012,2024-09-04 00:00:00,89.0,0.2,106.8
INV-000112,CUST-0012,2024-10-04,116.0,0.2,139.2
INV-000113,CUST-0012,2024-11-04,116.0,0.2,139.2
INV-000114,CUST-0012,2024-12-04,116.0,0.2,139.2
INV-000115,CUST-0012,2025-01-04,116.0,0.2,139.2
INV-000116,CUST-0012,2025-02-04,116.0,0.2,139.2
INV-000117,CUST-0012,2025-03-04,116.0,0.2,139.2
INV-000118,CUST-0012,2025-04-04,116.0,0.2,139.2
INV-000119,CUST-0012,2025-05-04,116.0,0.2,139.2
INV-000120,CUST-0012,2025-06-04,116.0,0.2,139.2
INV-000121,CUST-0012,2025-07-04,116.0,0.2,139.2
INV-000122,CUST-0012,2025-08-04,116.0,0.2,139.2
INV-000123,CUST-0013,2025-01-29,89.0,0.19,105.91
INV-000124,CUST-0013,2025-02-28,89.0,0.19,105.91
INV-000125,CUST-0013,2025-03-29,89.0,0.19,105.91
INV-000126,CUST-0013,2025-04-29,89.0,0.19,105.91
INV-000127,CUST-0013,2025-05-29,89.0,0.19,105.91
INV-000128,CUST-0013,2025-06-29,89.0,0.19,105.91
INV-000129,CUST-0013,2025-07-29,89.0,0.19,105.91
INV-000130,CUST-0013,2025-08-29,89.0,0.19,105.91
INV-000131,CUST-0014,2025-12-09,125.0,0.19,148.75
INV-000132,CUST-0015,2024-10-06,89.0,0.2,106.8
INV-000133,CUST-0015,2024-11-06,89.0,0.2,106.8
INV-000134,CUST-0015,2024-12-06,89.0,0.2,106.8
INV-000135,CUST-0015,2025-01-06,89.0,0.2,106.8
INV-000136,CUST-0015,2025-02-06,89.0,0.2,106.8
INV-000137,CUST-0015,2025-03-06 00:00:00,89.0,0.2,106.8
INV-000138,CUST-0015,2025-04-06,89.0,0.2,106.8
INV-000139,CUST-0015,2025-05-06,89.0,0.2,106.8
INV-000140,CUST-0015,2025-06-06,89.0,0.2,106.8
INV-000141,CUST-0015,2025-07-06,89.0,0.2,106.8
INV-000142,CUST-0015,2025-08-06,89.0,0.2,106.8
INV-000143,CUST-0015,2025-09-06,89.0,0.2,106.8
INV-000144,CUST-0015,2025-10-06,89.0,0.2,106.8
INV-000145,CUST-0015,2025-11-06,89.0,0.2,106.8
INV-000146,CUST-0015,2025-12-06,171.0,0.2,205.2
INV-000147,CUST-0016,2025-10-16,125.0,0.2,150.0
INV-000148,CUST-0016,2025-11-16,125.0,0.2,150.0
